NAME,BRANCH,ADDRESS_EN,ADDRESS_TH,INDUSTRY,PHONE,FAX,WEB_SITE,GROUP_OF_COMPANY
"127 Co., Ltd.",,เลขที่ 127 หมู่ 11 ถ.เทพารักษ์ กม.14.5 ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540,,Logistics,02 7508181,02 7505677,http://www.nhlog.co.th,NH Logistics Group
"127 Co., Ltd.",,เลขที่ 127 หมู่ 11 ถ.เทพารักษ์ กม.14.5 ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540,,Logistics,02 7508181,02 7505677,http://www.nhlog.co.th,NH Logistics Group
"127 Co., Ltd.",,เลขที่ 127 หมู่ 11 ถ.เทพารักษ์ กม.14.5 ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540,,Logistics,02 7508181,02 7505677,http://www.nhlog.co.th,NH Logistics Group
"A.F.Group Co., Ltd.",,"88 PASO Tower 16th Fl., Room B, Silom Rd., Suriyawongse, Bangrak 10500 Thailand",,"Chemical, Petrochemical, Petroleum, Oil & Gas",02 6341323,02 6343829,www.af.co.th,
"A.F.Group Co., Ltd.",,"88 PASO Tower 16th Fl., Room B, Silom Rd., Suriyawongse, Bangrak 10500 Thailand",,"Chemical, Petrochemical, Petroleum, Oil & Gas",02 6341323,02 6343829,www.af.co.th,
"A.P. Honda Co., Ltd.",(Head Office),"149 Rodrangkao Rd., Samrong-Tai, Phrapradaeng, Samutprakan, 10130, Thailand",,Automotive ,"02 7576111, 02 3844335",02 7576222,"www.aphonda.co.th, www.aphondacsr.com",Honda Group
"A.P. Honda Co., Ltd.",(Head Office),"149 Rodrangkao Rd., Samrong-Tai, Phrapradaeng, Samutprakan, 10130, Thailand",,Automotive ,"02 7576111, 02 3844335",02 7576222,www.aphonda.co.th,Honda Group
"A.P. Honda Co., Ltd.",(Head Office),"149 Rodrangkao Rd., Samrong-Tai, Phrapradaeng, Samutprakan, 10130, Thailand",,Automotive ,"02 7576111, 02 3844335",02 7576222,www.aphonda.co.th,Honda Group
"A.P. Honda Co., Ltd.",(Head Office),"149 Rodrangkao Rd., Samrong-Tai, Phrapradaeng, Samutprakan, 10130, Thailand",,Automotive ,"02 7576111, 02 3844335",02 7576222,"www.aphonda.co.th, www.aphondacsr.com",Honda Group
"A.P. Honda Co., Ltd.",(Head Office),"149 Rodrangkao Rd., Samrong-Tai, Phrapradaeng, Samutprakan, 10130, Thailand",,Automotive ,"02 7576111, 02 3844335",02 7576222,www.aphonda.co.th,Honda Group
"A.P. Honda Co., Ltd.",(Head Office),"149 Rodrangkao Rd., Samrong-Tai, Phrapradaeng, Samutprakan, 10130, Thailand",,Automotive ,"02 7576111, 02 3844335",02 7576222,www.aphonda.co.th,Honda Group
"A.P. Honda Co., Ltd.",(Head Office),"149 Rodrangkao Rd., Samrong-Tai, Phrapradaeng, Samutprakan, 10130, Thailand",,Automotive ,"02 7576111, 02 3844335",02 7576222,www.aphonda.co.th,Honda Group
AB Food & Beverages (Thailand) Limited,,"11th Fl, 2535 Sukhumvit Rd., Bangchack, Prakhanong, Bangkok, Thailand 10260",,Food & Beverage,02 3327120-9,02 7424379,www.ovaltine.co.th,
AB Food & Beverages (Thailand) Limited,,"11th Fl, 2535 Sukhumvit Rd., Bangchack, Prakhanong, Bangkok, Thailand 10260",,Food & Beverage,02 3327120-9,02 7424379,www.ovaltine.co.th,
AB Food & Beverages (Thailand) Limited,,"11th Fl, 2535 Sukhumvit Rd., Bangchack, Prakhanong, Bangkok, Thailand 10260",,Food & Beverage,02 3327120-9,02 7424379,www.ovaltine.co.th,
AB Food & Beverages (Thailand) Limited,,"11th Fl, 2535 Sukhumvit Rd., Bangchack, Prakhanong, Bangkok, Thailand 10260",,Food & Beverage,02 3327120-9,02 7424379,www.ovaltine.co.th,
AB Food & Beverages (Thailand) Limited,,"89/5 Soi Wat Suan Som, Moo 10, Poochaosamingprai Rd., Samrongtai, Prapradaeng, Samutprakarn 10130 Thailand",,Food & Beverage,02 3639000,02 7424379,www.ovaltine.co.th,
